Unnamed: 0,recipe_name,Ingredients,Ingredients_alpha,eng_Ingredients_alpha,Ingredients_string
10,"[' Foie en sauce rouge', 'kebsa marqa hamra', '']",- foie    -   tomates -   oignon   -   huile -   persil -jus   citron -    sel -   cumin -   poivre rouge -     poivre noir  ,"{'foie': 276, 'tomates': 364, 'oignon': 348, 'huile': 901, 'persil': 338, 'jus   citron': 240, 'sel': 778, 'cumin': 332, 'poivre rouge': 339, 'poivre noir': 399}","{'meat': 276, 'tomato': 364, 'onion': 348, 'cooking oil': 901, 'parsley': 338, 'lemon': 240, 'salt': 778, 'cumin': 332, 'pepper': 339, 'white pepper': 399} ","   'meat', 'tomato' , 'onion' ,'cooking oil' , 'parsley' , 'lemon'  , 'salt'  , 'cumin' , 'pepper' ,'white pepper'"
11,"[' Foie mcharmel en sauce', '']",-   foie  -   persil -jus   citron -huile   -   farine -    ail -   coriandre -   vinaigre -    poivre rouge -   poivre noir -   cumin -     sel  ,"{'foie': 276, 'persil': 338, 'jus   citron': 240, 'huile': 901, 'farine': 920, 'ail': 259, 'coriandre': 254, 'vinaigre': 322, 'poivre rouge': 339, 'poivre noir': 399, 'cumin': 332, 'sel': 778}","{'meat': 276, 'parsley': 338, 'lemon ': 240, 'cooking oil': 901, 'flour': 920, 'garlic ': 259, 'coriander ': 254, 'vinegar ': 322, 'pepper ': 339, 'white pepper': 399, 'cumin': 332, 'salt': 778} "," 'meat' , 'parsley' ,'lemon' , 'cooking oil' , 'flour' , 'garlic' , 'coriander', 'vinegar' , 'pepper' , 'white pepper' , 'cumin' , 'salt'"
12,"[' Langue de veau en tranches farcie ""skhabe"" (en tranches farcies)', '']",- langue       - oœufs -   gruyère -   chapelure -huile   -sel -   viande - oignon     -   persil -   beurre - œuf -    poivre noir -     sel  ,"{'langue': 276, 'oœufs': 0, 'gruyère': 73, 'chapelure': 2, 'huile': 901, 'sel': 778, 'viande': 276, 'oignon': 348, 'persil': 338, 'beurre': 60, 'œuf': 0, 'poivre noir': 399}","{'meat': 276, 'egg': 0, 'gruyere cheese': 73, 'bread': 2, 'cooking oil': 901, 'salt': 778, 'meat': 276, 'onion': 348, 'parsley': 338, 'butter ': 60, 'egg ': 0, 'white pepper': 399} "," 'meat' , 'egg' , 'gruyere cheese' , 'bread' , 'cooking oil'  , 'salt', 'meat' , 'onion' , 'parsley' , 'butter' , 'egg' , 'white pepper' , 'salt'"
13,"[' Langue de veau farci aux olives', '']",- langue   -   viande   -   huile -  ail - œufs   - œufs   -     tomates -   persil -   olives     -   laurier -   thym -   poivre noir -    sel  ,"{'langue': 276, 'viande': 276, 'huile': 901, 'ail': 259, 'œufs': 0, 'tomates': 364, 'persil': 338, 'olives': 307, 'laurier': 305, 'thym': 269, 'poivre noir': 399, 'sel': 778}","{'meat': 276, 'meat': 276, 'cooking oil': 901, 'garlic ': 259, 'egg ': 0, 'tomato': 364, 'parsley': 338, 'olive': 307, 'laurel ': 305, 'thyme ': 269, 'white pepper': 399, 'salt': 778} "," 'meat' , 'meat' , 'cooking oil' , 'garlic' , 'egg' , 'egg' , 'tomato' , 'parsley' , 'olive' , 'laurel' , 'thyme' , 'white pepper' , 'salt'"
14,"[' Langue de veau en sauce tomate', 'lsène b-tomatich', '']",- langue   - oignon     -   clous de grifole - bouquet garni - persil -    poivre noir -   sel -   tomates -      tomates -   beurre -    sel -    poivre noir -   persil -    thym     -    laurier     - oignons  s   -    ail -   sucre  ,"{'langue': 276, 'oignon': 348, 'clous de grifole': 331, 'carottes': 368, 'navet': 358, 'poireau': 345, 'céleri': 329, 'persil': 338, 'poivre noir': 399, 'sel': 778, 'tomates': 364, 'beurre': 60, 'thym': 269, 'laurier': 305, 'oignons  s': 348, 'ail': 259, 'sucre': 781}","{'meat': 276, 'onion': 348, 'clove ': 331, 'carrot': 368, 'turnip': 358, 'leek': 345, 'celery': 329, 'parsley': 338, 'white pepper': 399, 'salt': 778, 'tomato': 364, 'butter ': 60, 'thyme ': 269, 'laurel ': 305, 'onion': 348, 'garlic ': 259, 'sugar ': 781}"," 'meat' , 'onion' , 'clove' , 'turnip' , 'leek' , 'celery' , 'parsley' , 'white pepper' , 'salt' , 'tomato' , 'butter' , 'thyme' , 'laurel' , 'onion' , 'garlic' , 'sugar'"
15,"[' Rognons  blancs en sauce', '']",-    rognons  blancs    -    poivre rouge -    cumin -    cannelle -   beurre -sel  ,"{'rognons  blancs': 276, 'poivre rouge': 339, 'cumin': 332, 'cannelle': 330, 'beurre': 60, 'sel': 778}","{'meat': 276, 'pepper': 339, 'cumin': 332, 'cinnamon ': 330, 'butter ': 60, 'salt': 778}   ","'meat' , 'pepper' , 'cumin' , 'cinnamon' , 'butter'  ,'salt'"
16,"[' Medfouna', 'tête de veau aux blettes', '']",-   tete       -   blettes -  huile -haricots  -  ail - oignon vert -     tomates -   tabel -    sel -   poivre rouge -    carvi  ,"{'tete': 276, 'blettes': 382, 'huile': 901, 'haricots ': 284, 'ail': 259, 'oignon vert': 472, 'tomates': 364, 'tabel': 254, 'sel': 778, 'poivre rouge': 339, 'carvi': 326}","{'meat': 276, 'chard': 382, 'cooking oil': 901, 'beans  ': 284, 'garlic ': 259, 'welsh onion': 472, 'tomato': 364, 'coriander ': 254, 'salt': 778, 'pepper': 339, 'caraway': 326}  ","'meat' , 'chard' , 'cooking oil' ,'beans'  , 'garlic' , 'welsh onion' , 'tomato' , 'coriander' , 'salt' , 'pepper' , 'caraway'"
17,"[' Rognons  blancs aux oignons et aux pois chiches (sauce qadra)', '']",-   rognons  blancs -   pois chiches   -   oignons  -   persil -   beurre -   safran -   poivre noir -sel  ,"{'rognons  blancs': 276, 'pois chiches': 417, 'oignons ': 348, 'persil': 338, 'beurre': 60, 'safran': 340, 'poivre noir': 399, 'sel': 778}","{'meat': 276, 'chickpea': 417, 'onion ': 348, 'parsley': 338, 'butter ': 60, 'saffron ': 340, 'pepper': 399, 'salt': 778} "," 'meat' , 'chickpea' , 'onion' , 'parsley' , 'butter' , 'saffron' , 'pepper' ,'salt'"
18,"[' Tête d\'agneau rotie ""mosli""', '']",-    tetes    -   huile -   beurre -  ail -   pommes de terre - tomates   - poivrons - oignon     -   harissa -   persil - citron  -    carvi -   cumin  -    tabel -    curcuma  -     muscade     -   poivre noir -sel  ,"{'tetes': 276, 'huile': 901, 'beurre': 60, 'ail': 259, 'pommes de terre': 373, 'tomates': 364, 'poivrons': 339, 'oignon': 348, 'piment rouge ': 362, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'persil': 338, 'citron': 240, 'carvi': 326, 'cumin': 332, 'tabel': 254, 'curcuma': 341, 'muscade': 336, 'poivre noir': 399}","{'meat': 276, 'cooking oil': 901, 'butter ': 60, 'garlic ': 259, 'potato ': 373, 'tomato': 364, 'pepper': 339, 'onion': 348, 'capsicum ': 362, 'coriander': 254, 'salt': 778, 'caraway': 326, ' cooking oil': 901, 'parsley': 338, 'lemon': 240, 'caraway': 326, 'cumin': 332, 'coriander ': 254, 'turmeric': 341, 'nutmeg': 336, 'white pepper': 399}  ","'meat' , 'cooking oil' , 'butter' , 'garlic' , 'potato'  ,'tomato' , 'pepper' , 'onion' , 'capsicum' , 'coriander' , 'salt' , 'caraway' , 'cooking oil' , 'parsley' , 'lemon'  , 'caraway'  ,'cumin' ,'coriander' , 'turmeric' , 'white pepper' , 'nutmeg'"
19,"["" Tête d'agneau en sauce"", 'Hergma', '']", - tete    -   oignon   -    ail -   huile -   pois chiches   -   tomates -   persil -    poivre rouge -    cumin  -    poivre noir -   sel  ,"{'tete': 276, 'oignon': 348, 'ail': 259, 'huile': 901, 'pois chiches': 417, 'tomates': 364, 'persil': 338, 'poivre rouge': 339, 'cumin': 332, 'poivre noir': 399, 'sel': 778}","{'meat': 276, 'onion': 348, 'garlic': 259, 'cooking oil': 901, 'chickpea': 417, 'tomato': 364, 'parsley': 338, 'pepper': 339, 'cumin': 332, 'pepper': 399, 'salt': 778}"," 'meat' , 'onion' , 'garlic' , 'cooking oil' , 'chickpea' , 'tomato' , 'parsley' , 'pepper' , 'cumin' , 'pepper' , 'salt' "
20,"[' Tête de mouton à la vapeur', '']",- tetes    -sel -cumin -poivre noir  ,"{'tetes': 276, 'sel': 778, 'cumin': 332, 'poivre noir': 399}","{'meat': 276, 'salt': 778, 'cumin': 332, 'white pepper': 399}  "," 'meat' ,'salt' ,'cumin' , 'white pepper'"
21,"[' Tripes aux navets', 'Douwara be left ', '']",-tripe      - fressure    -   navets -  ail -   pois chiches   -   huile -      tomates -   poivre rouge -    poivre noir -   sel - piment rouge     ,"{'tripe': 276, 'fressure': 276, 'navets': 358, 'ail': 259, 'pois chiches': 417, 'huile': 901, 'tomates': 364, 'poivre rouge': 339, 'poivre noir': 399, 'sel': 778, 'piment rouge': 362}","{'meat': 276, 'meat': 276, 'turnip ': 358, 'garlic': 259, 'chickpea': 417, 'cooking oil': 901, 'tomato': 364, 'pepper': 339, 'white pepper': 399, 'salt': 778, 'capsicum ': 362}  ","'meat' , 'meat' , 'turnip' , 'garlic' , 'chickpea' , 'cooking oil' , 'tomato' , 'pepper', 'white pepper' , 'salt' , 'capsicum'      "
0,"[' Artichauts farcis', '']",-  artichauts   -   beurre -   huile -    farine -    lait -   gruyère   -   oignon   - œuf   -poivre noir -sel -   persil    ,"{'artichauts': 157, 'beurre': 60, 'huile': 901, 'farine': 920, 'lait': 88, 'gruyère': 73, 'oignon': 348, 'œuf': 0, 'poivre noir': 399, 'sel': 778, 'persil': 338}","{'artichoke': 157, 'butter ': 60, 'cooking oil': 901, 'flour ': 920, 'milk': 88, 'gruyere cheese ': 73, 'onion': 348, 'egg': 0, 'pepper': 399, 'salt': 778, 'parsley': 338}  ","'artichoke' , 'butter' , 'cooking oil' , 'flour' , 'milk' , 'gruyere cheese' , 'onion' , 'egg','pepper' ,'salt' , 'parsley'"
1,"[' Aubergines farcies ', '']", -   aubergines - oignon      -    ail -   beurre  - œufs   - œufs   -   persil  -   sel -    poivre noir  -  huile   ,"{'aubergines': 387, 'oignon': 348, 'ail': 259, 'beurre': 60, 'œufs': 0, 'persil': 338, 'sel': 778, 'poivre noir': 399, 'huile': 901}","{'eggplant': 387, 'onion': 348, 'garlic': 259, 'butter': 60, 'egg ': 0, 'parsley': 338, 'salt': 778, 'white pepper': 399, 'cooking oil': 901}  ","'eggplant' , 'onion' , 'garlic' , 'butter' , 'egg' , 'parsley' , 'salt' , 'white pepper' , 'cooking oil'   "
2,"[' Beignets de cervelle', '']",- cervelle     -   farine - œuf -    ail -   persil      -    cumin  -  poivre noir  -  sel -huile     ,"{'cervelle': 276, 'farine': 920, 'œuf': 0, 'ail': 259, 'persil': 338, 'cumin': 332, 'poivre noir': 399, 'sel': 778, 'huile': 901}","{'meat': 276, 'flour': 920, 'egg ': 0, 'garlic ': 259, 'parsley': 338, 'cumin': 332, 'white pepper': 399, 'salt': 778, 'cooking oil': 901}       ","'meat' , 'flour' , 'egg' , 'garlic' , 'parsley' , 'cumin' , 'white pepper' , 'salt' ,'cooking oil'"
3,"[' Banadej au poulet ', '']", -    pommes de terre   - œufs  -   farine  -   persil  -   oignon   -    poivre noir  -sel -huile     ,"{'pommes de terre': 373, 'œufs': 0, 'farine': 920, 'persil': 338, 'oignon': 348, 'poivre noir': 399, 'sel': 778, 'huile': 901}","{'potato ': 373, 'egg': 0, 'flour': 920, 'parsley': 338, 'onion': 348, 'white pepper': 399, 'salt': 778, 'cooking oil': 901}  "," 'potato'  , 'egg' , 'flour' , 'parsley' , 'onion' , 'white pepper'  ,'salt' ,'cooking oil'      "
4,"[' Bastéla ', '']",-       bastèla - pigeons -   beurre  - œufs - oignons  -     coriandre  -     persil -   amandes  -   sucre     -    cannelle  -    gingembre - clous de girofle -    poivre noir  -     safran    -sel -   eau de fleur  oranger  -huile     ,"{'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'pigeons': 651, 'beurre': 60, 'œufs': 0, 'oignons': 348, 'coriandre': 254, 'persil': 338, 'amandes': 281, 'sucre': 781, 'cannelle': 330, 'gingembre': 333, 'clous de girofle': 331, 'poivre noir': 399, 'safran': 340, 'eau de fleur  oranger': 121, 'huile': 901}","{'semolina': 869, 'flour ': 920, 'salt': 778, 'water': 794, 'squab ': 651, 'butter ': 60, 'egg ': 0, 'onion': 348, 'coriander ': 254, 'parsley': 338, 'almond': 281, 'sugar': 781, 'cinnamon ': 330, 'ginger ': 333, 'clove ': 331, 'white pepper': 399, 'saffron': 340, 'neroli oil': 121, 'cooking oil': 901} "," 'semolina' , 'flour' ,'salt' ,'water'  , 'squab'   , 'butter' , 'egg' , 'onion' , 'coriander' , 'parsley' , 'almond' , 'sugar' , 'cinnamon' , 'ginger' ,  'clove' , 'white pepper'  ,'saffron' , 'saffron' , 'cooking oil'    "
5,"["" Brick à l'oeuf "", 'Chaussons aux œufs', '']",-     malsouqa  - œufs  - oignon      -    céleri -    poivre noir  - citron  -sel - œuf  -huile     ,"{'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'œufs': 0, 'oignon': 348, 'céleri': 329, 'poivre noir': 399, 'citron': 240, 'œuf': 0, 'huile': 901}","{'semolina ': 869, 'flour ': 920, 'salt': 778, 'water': 794, 'egg ': 0, 'onion': 348, 'celery': 329, 'white pepper': 399, 'lemon': 240, 'egg': 0, 'cooking oil': 901} ","'semolina' , 'flour' , 'salt' , 'water' , 'egg' , 'onion' , 'celery' ,'white pepper' , 'lemon' ,'egg' , 'cooking oil'"
6,"[' Brik au thon ', '']",-   thon blanc   - œufs  -    fromage   -    beurre -  huile  olives -    persil - oignon  -   câpres  -   malsouqa -    poivre noir  -sel  - citron -huile     ,"{'thon blanc': 679, 'œufs': 0, 'fromage': 62, 'beurre': 60, 'huile  olives': 979, 'persil': 338, 'oignon': 348, 'câpres': 414, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'poivre noir': 399, 'citron': 240, 'huile': 901}","{'albacore tuna ': 679, 'egg ': 0, 'cheese': 62, 'butter ': 60, 'cooking oil': 979, 'parsley': 338, 'onion': 348, 'capers ': 414, 'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'pepper': 399, 'lemon': 240, 'cooking oil': 901}  "," 'albacore tuna', 'egg' , 'cheese' , 'butter' , 'cooking oil' , 'parsley' ,'onion' , 'capers' , 'semolina' , 'flour'  ,'salt'  , 'water' ,'pepper' ,'lemon' , 'cooking oil'"
7,"[' Brik au poulet et aux crevettes', '']",-     -   crevettes    -   oignon  -   smen -   malsouqa -   persil  -    poivre noir -sel -huile    ,"{'crevettes': 145, 'oignon': 348, 'smen': 60, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'persil': 338, 'poivre noir': 399, 'huile': 901}","{'trassi': 145, 'onion': 348, 'butter': 60, 'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'parsley': 338, 'white pepper': 399, 'cooking oil': 901} "," 'trassi' , 'onion' , 'butter' , 'semolina' , 'flour' , 'salt' , 'water' ,'parsley' , 'white pepper' , 'cooking oil'"
8,"[' BRIKA ', '']",-   malsouqa -       -   fromage -   gruyère  - œufs    - œufs     - œuf       -   beurre    -    poivre noir  -sel  ,"{'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'fromage': 62, 'gruyère': 73, 'œufs': 0, 'œuf': 0, 'beurre': 60, 'poivre noir': 399}","{'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'cheese': 62, 'gruyere cheese ': 73, 'egg ': 0, 'egg ': 0, 'butter': 60, 'white pepper': 399} "," 'semolina' , 'flour' , 'salt', 'gruyere cheese' , 'water' , 'egg'  , 'egg' , 'butter' , 'white pepper', 'cheese'"
9,"[' Briouats à la cervelle ', '']",- cervelles    - oignon  - carotte - navet - poireau  - oeuf  -   beurre -   poivre noir -   bastèla -    thym      -    laurier      -     persil  -     coriandre  -sel -huile    ,"{'cervelles': 276, 'oignon': 348, 'carotte': 368, 'navet': 358, 'poireau': 345, 'oeuf': 0, 'beurre': 60, 'poivre noir': 399, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'thym': 269, 'laurier': 305, 'persil': 338, 'coriandre': 254, 'huile': 901}","{'meat': 276, 'onion': 348, 'carrot ': 368, 'turnip ': 358, 'leek ': 345, 'egg ': 0, 'butter': 60, 'pepper': 399, 'semolina': 869, 'flour': 920, 'salt': 778, 'water': 794, 'thyme ': 269, 'laurel ': 305, 'parsley': 338, 'coriander ': 254, 'cooking oil': 901}  ","'meat','onion' ,'carrot', 'turnip', 'leek' , 'egg' , 'butter' , 'pepper' , 'semolina' , 'thyme' , 'laurel' , 'parsley' , 'coriander' , 'salt' ,'cooking oil' ,'flour' ,'salt' , 'water'"
10,"[' Briouats à la viande hachée ', '']",-     boeuf  - œufs  -   beurre  - oignon  -   coriandre -   persil  -   cannelle  -   cumin -   poivre rouge -  piment de cayenne   -sel -   bastèla  -huile    ,"{'boeuf': 270, 'œufs': 0, 'beurre': 60, 'oignon': 348, 'coriandre': 254, 'persil': 338, 'cannelle': 330, 'cumin': 332, 'poivre rouge': 339, 'piment de cayenne': 362, 'sel': 778, 'semouline': 869, 'farine': 920, 'water': 794, 'huile': 901}","{'beef ': 270, 'egg': 0, 'butter ': 60, 'onion': 348, 'coriander ': 254, 'parsley': 338, 'cinnamon ': 330, 'cumin': 332, 'pepper': 339, 'piment de cayenne': 362, 'salt': 778, 'semolina ': 869, 'flour': 920, 'water': 794, 'cooking oil': 901} ","'beef', 'egg' , 'butter','onion', 'coriander' , 'parsley' , 'cinnamon' , 'cumin' , 'pepper' , 'capsicum' , 'salt' , 'semolina'  ,'cooking oil'  ,'flour' ,'water'"
11,"[' Bourak aux anchois', '']",-   dioul -    anchois  -    ail -   tomates -   poivrons verts -   huile - blanc  oeuf  -    carvi -    sel -huile    ,"{'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'anchois': 720, 'ail': 259, 'tomates': 364, 'poivrons verts': 339, 'huile': 901, 'blanc  oeuf': 985, 'carvi': 326}","{'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'anchovy': 720, 'garlic ': 259, 'tomato': 364, 'pepper ': 339, 'cooking oil': 901, 'egg white': 985, 'caraway ': 326} ","'semolina' , 'anchovy' , 'garlic','tomato' , 'pepper' , 'cooking oil' ,'egg white' , 'caraway','cooking oil' ,'flour','water' , 'salt'"
